crop_path,dataset_source,source_image,scene_id,component_class,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
ATTIOT_Bottom_jpg__030__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,129,86,24,16,81,54,component,,,
ATTIOT_Bottom_jpg__033__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,219,213,41,40,137,133,component,,,
ATTIOT_Bottom_jpg__034__Button.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Button,176,122,33,23,110,76,component,,,
ATTIOT_Bottom_jpg__037__Led.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Led,116,138,22,26,74,86,component,,,
ATTIOT_Bottom_jpg__053__Pads.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Pads,160,92,30,17,100,58,component,,,
ATTIOT_Bottom_jpg__054__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,278,332,52,74,174,247,component,,,
ATTIOT_Bottom_jpg__055__Button.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Button,164,132,31,25,102,82,component,,,
ATTIOT_Bottom_jpg__056__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,716,208,134,47,448,157,component,,,
ATTIOT_Bottom_jpg__057__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,860,202,161,46,538,153,component,,,
ATTIOT_Bottom_jpg__058__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,319,107,60,20,199,67,component,,,
ATTIOT_Bottom_jpg__079__Jumper.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Jumper,214,159,40,30,134,99,component,,,
ATTIOT_Bottom_jpg__083__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,106,117,20,22,66,73,component,,,
ATTIOT_Bottom_jpg__092__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,261,309,49,58,163,193,component,,,
ATTIOT_Bottom_jpg__093__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,257,267,48,50,161,167,component,,,
ATTIOT_Bottom_jpg__107__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,207,112,39,21,129,70,component,,,
ATTIOT_Bottom_jpg__113__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,128,133,24,25,80,83,component,,,
ATTIOT_Bottom_jpg__114__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,218,401,41,75,136,251,component,,,
ATTIOT_Bottom_jpg__116__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,203,111,38,21,127,69,component,,,
ATTIOT_Bottom_jpg__136__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,88,362,17,68,55,226,component,,,
ATTIOT_Bottom_jpg__138__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,84,80,16,15,52,50,component,,,
ATTIOT_Bottom_jpg__141__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,143,123,27,23,89,77,component,,,
ATTIOT_Bottom_jpg__145__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,200,108,37,20,125,68,component,,,
ATTIOT_Bottom_jpg__146__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,148,251,28,47,92,157,component,,,
ATTIOT_Bottom_jpg__147__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,145,256,27,48,91,160,component,,,
ATTIOT_Bottom_jpg__166__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,198,106,37,20,124,66,component,,,
ATTIOT_Bottom_jpg__183__Clock.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Clock,111,150,21,28,69,94,component,,,
ATTIOT_Bottom_jpg__185__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,202,106,38,20,126,66,component,,,
ATTIOT_Bottom_jpg__187__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,100,97,19,18,62,61,component,,,
ATTIOT_Bottom_jpg__189__Pads.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Pads,86,84,16,16,54,52,component,,,
ATTIOT_Bottom_jpg__191__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,782,667,1,125,601,417,component,,,
ATTIOT_Bottom_jpg__192__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,168,170,31,32,105,106,component,,,
ATTIOT_Bottom_jpg__202__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,207,116,39,22,129,72,component,,,
ATTIOT_Bottom_jpg__209__Resistor_Network.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Resistor Network,85,144,16,27,53,90,component,,,
ATTIOT_Bottom_jpg__211__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,748,756,140,142,468,472,component,,,
ATTIOT_Bottom_jpg__213__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,207,111,39,21,129,69,component,,,
ATTIOT_Bottom_jpg__214__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,234,427,53,80,177,267,component,,,
ATTIOT_Bottom_jpg__216__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,108,208,20,39,68,130,component,,,
ATTIOT_Bottom_jpg__217__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,80,138,15,26,50,86,component,,,
ATTIOT_Bottom_jpg__218__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,88,134,16,25,55,84,component,,,
ATTIOT_Bottom_jpg__219__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,106,202,20,38,66,126,component,,,
ATTIOT_Top_JPG_jpg__002__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,334,363,77,68,256,227,component,,,
ATTIOT_Top_JPG_jpg__004__Diode.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Diode,85,100,16,19,53,62,component,,,
ATTIOT_Top_JPG_jpg__009__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,721,799,18,150,541,499,component,,,
ATTIOT_Top_JPG_jpg__011__IC.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,IC,1169,1092,219,205,731,682,component,,,
ATTIOT_Top_JPG_jpg__020__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,219,148,41,28,137,92,component,,,
ATTIOT_Top_JPG_jpg__021__Jumper.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Jumper,266,181,50,34,166,113,component,,,
ATTIOT_Top_JPG_jpg__022__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,395,842,74,158,247,526,component,,,
ATTIOT_Top_JPG_jpg__026__Pads.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Pads,299,176,56,33,187,110,component,,,
ATTIOT_Top_JPG_jpg__027__Capacitor_Jumper.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Capacitor Jumper,132,85,25,16,82,53,component,,,
ATTIOT_Top_JPG_jpg__037__IC.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,IC,171,156,32,29,107,98,component,,,
ATTIOT_Top_JPG_jpg__038__Capacitor_Jumper.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Capacitor Jumper,138,84,26,16,86,52,component,,,
ATTIOT_Top_JPG_jpg__039__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,536,508,112,117,373,390,component,,,
ATTIOT_Top_JPG_jpg__043__IC.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,IC,122,112,23,21,76,70,component,,,
ATTIOT_Top_JPG_jpg__044__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,1088,276,204,0,680,212,component,,,
ATTIOT_Top_JPG_jpg__046__IC.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,IC,230,202,43,38,144,126,component,,,
ATTIOT_Top_JPG_jpg__047__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,177,443,0,83,136,277,component,,,
ATTIOT_Top_JPG_jpg__051__Diode.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Diode,305,235,57,44,191,147,component,,,
ATTIOT_Top_JPG_jpg__052__Inductor.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Inductor,202,234,38,44,126,146,component,,,
ATTIOT_Top_JPG_jpg__053__Capacitor_Jumper.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Capacitor Jumper,140,91,26,17,88,57,component,,,
ATTIOT_Top_JPG_jpg__057__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,441,309,83,58,275,193,component,,,
ATTIOT_Top_JPG_jpg__061__Diode.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Diode,224,247,42,46,140,155,component,,,
ATTIOT_Top_JPG_jpg__062__Pads.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Pads,143,92,27,17,89,58,component,,,
ATTIOT_Top_JPG_jpg__064__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,936,438,176,40,585,306,component,,,
ATTIOT_Top_JPG_jpg__066__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,902,356,169,82,564,273,component,,,
ATTIOT_Top_JPG_jpg__067__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,776,192,146,44,485,147,component,,,
ATTIOT_Top_JPG_jpg__068__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,223,277,51,52,171,173,component,,,
ATTIOT_Top_JPG_jpg__071__Diode.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Diode,150,148,28,28,94,92,component,,,
ATTIOT_Top_JPG_jpg__074__Button.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Button,479,298,90,15,299,218,component,,,
ATTIOT_Top_JPG_jpg__075__Diode.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Diode,95,143,18,27,59,89,component,,,
ATTIOT_Top_JPG_jpg__076__Capacitor_Jumper.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Capacitor Jumper,86,132,16,25,54,82,component,,,
ATTIOT_Top_JPG_jpg__078__Inductor.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Inductor,116,150,22,28,72,94,component,,,
ATTIOT_Top_JPG_jpg__081__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,342,270,64,0,214,208,component,,,
ATTIOT_Top_JPG_jpg__085__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,528,314,99,59,330,196,component,,,
ATTIOT_Top_JPG_jpg__087__IC.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,IC,229,203,43,38,143,127,component,,,
ATTIOT_Top_JPG_jpg__094__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,271,399,62,75,208,249,component,,,
ATTIOT_Top_JPG_jpg__103__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,144,216,27,40,90,135,component,,,
ATTIOT_Top_JPG_jpg__105__Connector.png,fpic_rf100,train/images/ATTIOT_Top_JPG_jpg.rf.1c69fe2eb6cfe54c5f1e05eb8da5df50.jpg,ATTIOT_Top_JPG_jpg,Connector,321,532,60,100,201,332,component,,,
ArduinoMega_Bottom_jpg__000__Connector.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Connector,213,95,40,18,133,59,component,,,
ArduinoMega_Bottom_jpg__001__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,145,624,27,117,91,390,component,,,
ArduinoMega_Bottom_jpg__002__Connector.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Connector,262,447,49,84,164,279,component,,,
ArduinoMega_Bottom_jpg__003__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,193,209,36,39,121,131,component,,,
ArduinoMega_Bottom_jpg__004__Pads.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pads,133,85,25,16,83,53,component,,,
ArduinoMega_Bottom_jpg__005__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,198,1775,37,333,124,1109,component,,,
ArduinoMega_Bottom_jpg__006__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,200,292,38,55,125,182,component,,,
ArduinoMega_Bottom_jpg__007__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,304,95,57,18,190,59,component,,,
ArduinoMega_Bottom_jpg__008__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,465,415,87,78,291,259,component,,,
ArduinoMega_Bottom_jpg__009__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,785,122,147,23,491,76,component,,,
ArduinoMega_Bottom_jpg__010__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,780,112,146,21,488,70,component,,,
ArduinoMega_Bottom_jpg__011__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,763,127,143,24,477,79,component,,,
ArduinoMega_Bottom_jpg__012__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,966,107,181,20,604,67,component,,,
ArduinoMega_Bottom_jpg__013__Pins.png,fpic_rf100,train/images/ArduinoMega_Bottom_jpg.rf.42e045f8dfbb85e593287fa807016fda.jpg,ArduinoMega_Bottom_jpg,Pins,790,118,148,22,494,74,component,,,
