board_id,upstream_board_id,image_path,image_sha256,width_px,height_px,focus_laplacian_var_at_max1600,upstream_ic_count,pnp_proposal_count,reference_status,review_status
pcb_dslr_012,pcb12,../boards/pcb_dslr_012/rec1.jpg,b325bda405d773eca6f6d8d81b8b436d66f42cf47cbc88f587780a45b1b28579,4928,3280,2484.098986,41,198,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_013,pcb13,../boards/pcb_dslr_013/rec1.jpg,16aa86c030932c8fc60bf2adc6dceebe98b45194060beec03f1109b357fa4cf9,4928,3280,2048.949667,36,167,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_014,pcb14,../boards/pcb_dslr_014/rec1.jpg,7e66f2968bc875e8b7388ff4674fa319bfc27e132f0eff544414e795abc9a5dc,4928,3280,3832.568404,10,163,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_015,pcb15,../boards/pcb_dslr_015/rec1.jpg,92a66cdb83ff12e126d0ed1963b7c6269af4c96fee1d9c37fe0cc0326f6d2610,4928,3280,2659.330209,30,40,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_016,pcb16,../boards/pcb_dslr_016/rec1.jpg,8cae42ab5affc7eb158215b917cb0ad47dbcf7c901460a44eb84c7a8db33b3b1,4928,3280,2050.595283,2,34,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_017,pcb17,../boards/pcb_dslr_017/rec1.jpg,3cb03e7d7f7e939c2d85a2959293adddaef6501d03961854be4f5d9483d973ee,4928,3280,2772.734916,19,114,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_018,pcb18,../boards/pcb_dslr_018/rec1.jpg,8efcb2751af550a57a9da5315df63b7eab56e0463ab0bf684b7801369a929d1c,4928,3280,4729.001712,9,30,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_019,pcb19,../boards/pcb_dslr_019/rec1.jpg,4ec5b5ebdf8eea8a0de0dd032e603aca772f5b378e4c4c2690fb190ba24f61ba,4928,3280,3389.462607,2,24,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_020,pcb20,../boards/pcb_dslr_020/rec1.jpg,6a0ed3d6423eb2b35dbd329fb087943b022f579ec368e8f3a6f709b91f456b16,4928,3280,2433.470269,5,46,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_021,pcb21,../boards/pcb_dslr_021/rec1.jpg,c15f7e66dbfc3ca76d540098cc4e6be28a34ff5eb02d16425661d5d11a34f2cb,4928,3280,2437.850379,0,2,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_022,pcb22,../boards/pcb_dslr_022/rec1.jpg,afa8ceb05920eaee035dac506448f5b637c1cac45caf8bb08e88fe19b5debfba,4928,3280,7634.448647,18,105,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_023,pcb23,../boards/pcb_dslr_023/rec1.jpg,d40435276ef241c58b44a91b514b3d4ad13ad9cb36170d4af75c3f3a7bebe466,4928,3280,6920.380218,10,43,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_024,pcb24,../boards/pcb_dslr_024/rec1.jpg,8050559a1a0f156f49d2e0fce512805abfda2b93ccce6f92c05e9ceca6e780cf,4928,3280,5833.048561,15,131,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_025,pcb25,../boards/pcb_dslr_025/rec1.jpg,530d6f83ee69a68d879ac503212abeb1caa61f6b93c31ebf674e7e6f7f401905,4928,3280,3067.601092,5,9,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_026,pcb26,../boards/pcb_dslr_026/rec1.jpg,7e6f80471bc3203adbfe00919d8006d1dd61fc5e5ca85da4ab23e8befc8fcf87,4928,3280,4397.519003,17,53,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_027,pcb27,../boards/pcb_dslr_027/rec1.jpg,d39a15a05cbac9b2e24f31037bfb6fffffe895eeb620d8b4dc7679b20f865102,4928,3280,5971.290838,10,23,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_028,pcb28,../boards/pcb_dslr_028/rec1.jpg,91cecaa4192e3c36e2a0b66310005461e5e8da1604cf8b2825428869409a6bd0,4928,3280,4829.633225,11,35,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_029,pcb29,../boards/pcb_dslr_029/rec1.jpg,8fe1e915a2b47b14dfbe32435aaf56c4ebc84501f74004244e22156374f269b6,4928,3280,5381.880382,9,14,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_030,pcb30,../boards/pcb_dslr_030/rec1.jpg,33553688c8738be324f82fececf7c6db2b7481bdb7d94b1cab5260029db10a6c,4928,3280,5955.477333,14,53,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
