source,label,cluster,n,long_med,aspect_med,circ_med,defects_med
fpic,Unknown Unlabeled,cluster_1,50,107.5000,1.9909,0.2312,2.0000
fpic,Unknown Unlabeled,cluster_2,243,28.0000,1.7143,0.4115,2.0000
fpic,Unknown Unlabeled,cluster_3,285,32.0000,1.6000,0.1438,2.0000
fpic,Unknown Unlabeled,cluster_4,225,37.0000,1.6000,0.6709,1.0000
fpic,iC,cluster_1,71,58.0000,1.2818,0.4111,3.0000
fpic,iC,cluster_2,45,99.0000,1.4599,0.1679,3.0000
winnies,LED,cluster_1,347,35.0000,1.8065,0.3257,3.0000
winnies,LED,cluster_2,198,72.0000,2.1298,0.2404,3.0000
winnies,LED,cluster_3,164,55.0000,1.8095,0.1307,2.0000
winnies,LED,cluster_4,204,44.0000,2.0667,0.6349,1.0000
winnies,MOSFET,cluster_1,50,126.0000,1.2602,0.4065,2.0000
winnies,MOSFET,cluster_2,38,232.5000,1.2637,0.0708,1.0000
winnies,MOSFET-2,cluster_1,61,139.0000,1.3667,0.4743,1.0000
winnies,MOSFET-2,cluster_2,47,113.0000,1.1078,0.1673,2.0000
winnies,Polyfuse_GR,cluster_1,91,60.0000,2.0000,0.2263,2.0000
winnies,Polyfuse_GR,cluster_2,87,69.0000,1.8925,0.4996,2.0000
winnies,Polyfuse_Z,cluster_1,45,91.0000,2.2807,0.3442,2.0000
winnies,Polyfuse_Z,cluster_2,60,92.0000,2.0169,0.1454,2.0000
winnies,Polyfuse_Z,cluster_3,100,112.0000,2.0057,0.4774,1.0000
winnies,Resistor rond,cluster_1,58,52.5000,2.0513,0.1159,2.0000
winnies,Resistor rond,cluster_2,49,129.0000,2.5870,0.1709,2.0000
winnies,Resistor rond,cluster_3,61,73.0000,2.1429,0.1798,3.0000
winnies,Resistor rond,cluster_4,137,51.0000,2.1277,0.4553,2.0000
winnies,SOD123,cluster_1,57,61.0000,1.8182,0.5049,1.0000
winnies,SOD123,cluster_2,83,121.0000,1.8421,0.3020,2.0000
winnies,SOD123,cluster_3,80,66.0000,1.9412,0.1517,2.0000
winnies,SOD323,cluster_1,190,37.0000,1.7918,0.3476,3.0000
winnies,SOD323,cluster_2,177,83.0000,1.9310,0.3072,2.0000
winnies,SOD323,cluster_3,160,43.0000,2.0667,0.5752,2.0000
winnies,SOD323,cluster_4,109,66.0000,1.7059,0.1014,2.0000
winnies,SOIC-16,cluster_1,64,112.0000,1.2476,0.1838,3.0000
winnies,SOIC-16,cluster_2,51,99.0000,1.3043,0.0642,1.0000
winnies,SOT143,cluster_1,55,60.0000,1.1429,0.4995,2.0000
winnies,SOT143,cluster_2,46,73.0000,1.1266,0.2298,4.0000
winnies,SOT223,cluster_1,75,105.0000,1.1628,0.3137,2.0000
winnies,SOT223,cluster_2,25,135.0000,1.1138,0.1280,2.0000
winnies,SOT23,cluster_1,150,36.0000,1.2407,0.3738,4.0000
winnies,SOT23,cluster_2,116,85.0000,1.1515,0.2280,3.0000
winnies,SOT23,cluster_3,199,68.0000,1.1912,0.2133,1.0000
winnies,SOT23,cluster_4,206,46.5000,1.1455,0.5289,2.0000
winnies,SOT457,cluster_1,82,40.0000,1.2667,0.1583,3.0000
winnies,SOT457,cluster_2,19,48.0000,1.2286,0.6752,0.0000
winnies,SOT457,cluster_3,126,53.0000,1.1765,0.2482,3.0000
winnies,SOT753,cluster_1,125,103.0000,1.1667,0.2652,3.0000
winnies,SOT753,cluster_2,52,110.0000,1.2536,0.0822,1.0000
winnies,SOT753,cluster_3,54,104.0000,1.2609,0.7036,0.5000
winnies,SOT753,cluster_4,103,46.0000,1.1795,0.2409,3.0000
winnies,SOT96,cluster_1,115,198.0000,1.4766,0.2039,3.0000
winnies,SOT96,cluster_2,157,76.0000,1.3800,0.1941,5.0000
winnies,SOT96,cluster_3,106,84.0000,1.3393,0.4093,2.0000
winnies,SOT96,cluster_4,27,87.0000,1.3279,0.0944,3.0000
winnies,TSSOP-16,cluster_1,27,265.0000,1.2847,0.1862,2.0000
winnies,TSSOP-16,cluster_2,38,130.0000,1.2903,0.3392,2.0000
winnies,capacitor,cluster_1,1477,51.0000,1.8095,0.5647,1.0000
winnies,capacitor,cluster_2,1455,36.0000,1.8276,0.3440,2.0000
winnies,capacitor,cluster_3,1281,83.0000,1.8605,0.2631,3.0000
winnies,capacitor,cluster_4,1191,51.0000,1.9412,0.1346,2.0000
winnies,feriet kraal,cluster_1,110,55.5000,1.8947,0.2354,3.0000
winnies,feriet kraal,cluster_2,126,37.0000,1.5556,0.5253,2.0000
winnies,feriet kraal,cluster_3,122,85.0000,1.9166,0.1383,2.0000
winnies,feriet kraal,cluster_4,130,57.0000,2.1111,0.5975,2.0000
winnies,resistor,cluster_1,1532,78.0000,2.0455,0.1166,2.0000
winnies,resistor,cluster_2,1578,36.0000,1.9091,0.1539,3.0000
winnies,resistor,cluster_3,1677,58.0000,2.0250,0.5160,2.0000
winnies,resistor,cluster_4,1192,46.0000,2.2800,0.2566,2.0000
