source,label,n_total,level,n_shape,long_p10,long_med,long_p90,aspect_med,circ_med,solidity_med,poly_med,defects_med,area_frac_med
winnies,SOD323,636,package,636,33.0000,58.0000,103.0000,1.8787,0.3458,0.7770,9.0000,2.0000,0.0006
winnies,feriet kraal,490,package,488,31.0000,57.0000,99.0000,1.8649,0.3699,0.7857,9.0000,2.0000,0.0005
winnies,SOT96,405,package,405,69.0000,92.0000,224.0000,1.3929,0.2196,0.7534,10.0000,4.0000,0.0021
winnies,SOT753,334,package,334,41.0000,86.0000,123.4000,1.1980,0.2597,0.7729,10.0000,2.0000,0.0019
winnies,Resistor rond,305,package,305,43.0000,72.0000,129.0000,2.1905,0.3064,0.7699,9.0000,2.0000,0.0007
winnies,SOT457,227,package,227,36.0000,46.0000,109.0000,1.2121,0.2186,0.6459,10.0000,3.0000,0.0006
winnies,SOD123,220,package,220,57.0000,71.0000,131.0000,1.8772,0.2874,0.7412,8.0000,1.0000,0.0008
winnies,Polyfuse_Z,205,package,205,49.0000,109.0000,139.0000,2.0667,0.3519,0.8008,9.0000,2.0000,0.0018
winnies,Polyfuse_GR,179,package,178,27.0000,67.0000,100.0000,1.9688,0.3467,0.7971,9.0000,2.0000,0.0008
winnies,SOIC-16,115,package,115,68.4000,111.0000,195.4000,1.2734,0.1161,0.6126,8.0000,3.0000,0.0034
winnies,MOSFET-2,108,package,108,39.0000,127.0000,154.3000,1.2016,0.2049,0.7451,6.0000,1.0000,0.0037
winnies,SOT143,101,package,101,39.0000,66.0000,103.0000,1.1379,0.3624,0.7624,10.0000,3.0000,0.0013
winnies,SOT223,100,package,100,53.0000,106.0000,194.0000,1.1462,0.2426,0.7550,9.0000,2.0000,0.0030
winnies,MOSFET,88,package,88,121.0000,229.0000,251.3000,1.2604,0.2002,0.8888,5.0000,2.0000,0.0131
winnies,TSSOP-16,65,package,65,97.2000,177.0000,321.2000,1.2857,0.2111,0.7377,7.0000,2.0000,0.0076
winnies,SOD128,33,package,33,118.0000,118.0000,151.0000,1.5128,0.2978,0.8082,8.0000,1.0000,0.0029
winnies,TSSOP-14,21,package,21,180.0000,236.0000,257.0000,1.1272,0.1296,0.5898,9.0000,4.0000,0.0158
winnies,SOIC-14,8,package,8,92.7000,212.0000,267.2000,1.3628,0.2019,0.5674,7.0000,1.0000,0.0093
winnies,CHIP,6,package,6,155.0000,190.0000,225.0000,1.1117,0.0764,0.5726,5.5000,2.5000,0.0104
winnies,SOIC-12,4,package,4,104.0000,104.0000,104.7000,1.2235,0.2717,0.8910,8.0000,3.0000,0.0028
